TT_chat_0001|{j iou4 sh iii4 w uei3 q v5 sh ou4 d uo1 l e5 y ie3 j iou4 x i2 g uan4 l e5 sp}|就是委屈受多了也就习惯了。
TT_chat_0060|{h ao3 x iang4 h ai2 m ei2 y iou3 g uo5 b a5 w uo3 sh uo1 h ua4 h ai2 sh iii4 b i3 j iao4 x iao3 x in1 y in1 w uei2 sp j iou4 y i4 zh iii2 x iang1 x in4 y ian2 d uo1 b i4 sh iii1 r an2 h ou4 j ve2 d e5 sp h uo4 c ong2 k ou3 ch u1 sh uo1 h ua4 j iou4 sh iii4 h uei4 b i3 j iao4 x iao3 x in1 y i4 d ian3 sp r an2 h ou4 sp z e5 j iou4 j i1 b en3 sh ang5 d ou1 h uei4 r ang4 z ii4 j i3 x iang2 h ao3 l e5 z ai4 j iang3 sp}|好像还没有过吧我说话还是比较小心因为，就一直相信言多必失然后觉得，祸从口出说话就是会比较小心一点，然后，啧就基本上都会让自己想好了再讲。
TT_chat_0061|{en4 q ve4 sh iii2 sh iii4 sp er2 q ie2 y iou3 d e5 n v3 sh eng1 zh en1 d e5 sh iii4 h en3 b o1 l i5 x in1 d e5 n ei4 zh ong3 s uei1 r an2 sh uo1 n v3 sh eng1 d ou1 h uei4 b i3 j iao4 b o1 l i5 x in1 sp d an4 y iou3 d e5 n v3 sh eng1 zh en1 d e5 sh iii4 ch ao1 j i2 b o1 l i5 x in1 sp sh uo1 d ao4 g e5 sh en2 m e5 t a1 k e3 n eng2 j iou4 k u1 l e5 sp}|嗯确实是，而且有的女生真的是很玻璃心的那种虽然说女生都会比较玻璃心，但有的女生真的是超级玻璃心，说到个什么他可能就哭了。
TT_chat_0062|{d uei4 sp er2 q ie2 n v3 sh eng1 j iou4 sh iii4 t ai4 r ong2 y i4 ch u1 w u4 h uei4 l e5 sp j iou4 k e3 n eng2 n i3 d e5 x iang2 f a3 sh iii4 w uei4 t a1 h ao3 z uo4 ch u1 zh ei4 y iang5 d e5 x van3 z e2 t a1 j iou4 sh iii4 h uei4 t a1 j iou4 sh iii4 h uei4 y iou3 l ing4 w uai4 y i4 zh ong3 x iang2 f a3 sp j iou4 sh iii4 n v3 sh eng1 d e5 x iang2 f a3 zh en1 d e5 sh iii4 t ai4 d uo1 l e5 sp}|对，而且女生就是太容易出误会了，就可能你的想法是为他好做出这样的选择他就是会他就是会有另外一种想法，就是女生的想法真的是太多了。
TT_chat_0063|{d uei4 j iou4 sh iii4 y iou3 y iou3 zh ei4 y iang5 zh e4 m e5 y i2 g e5 r en2 sp s uo2 y i3 d a4 j ia1 d ou1 b u2 t ai4 x i3 h uan1 t a1 w uo3 m en5 y i4 zh eng3 g e5 s u4 sh e4 sp e5 ch u2 l e5 y iou2 l iang3 g e5 n v3 sh eng1 sh iii4 e5 j iou4 sh iii4 x i1 an1 zh ou1 b ian1 d e5 y i2 g e5 ch eng2 sh iii4 sp sh eng4 x ia5 d e5 q van2 d ou1 sh iii4 x i1 an1 sp j iou4 sh iii4 w uo3 m en5 d ou1 sh iii4 y i2 g e5 ch eng2 sh iii4 d e5 r an2 h ou4 sp zh ou1 m o4 y iou3 sh iii2 h ou5 h ai2 h uei4 y ve1 ch u1 l ai5 w uan2 r b ao1 k uo4 d ao4 x ian4 z ai4 w uo3 h uei2 q v4 h ai2 h uei4 g en1 y iou3 y i2 g e5 t e4 b ie2 h ao3 d e5 sp w uo3 m en5 h uei4 j ing1 ch ang2 y ve1 ch u5 l ai5 j iou4 l iao2 l iao2 t ian1 r zh ei4 y iang5 d e5 sp}|对就是有有这样这么一个人，所以大家都不太喜欢他我们一整个宿舍，呃除了有两个女生是呃就是西安周边的一个城市，剩下的全都是西安，就是我们都是一个城市的然后，周末有时候还会约出来玩儿包括到现在我回去还会跟有一个特别好的，我们会经常约出来就聊聊天儿这样的。
TT_chat_0064|{d uei4 j iou4 sh iii4 y i3 j ing1 d ou1 sh an1 d iao4 l e5 t a1 b a2 w uo3 m en5 s uo2 y iou3 r en2 d e5 w uei1 x in4 d ou1 sh an1 d iao4 l e5 sp}|对就是已经都删掉了他把我们所有人的微信都删掉了。
TT_chat_0065|{en4 en4 en4 sp n a4 w uo3 j ve2 d e5 n i2 h ao3 x i4 x in1 y ia5 sp}|嗯嗯嗯，那我觉得你好细心呀。
TT_chat_0066|{en1 sp er2 q ie3 h uei4 q v4 zh ua1 zh e5 zh ei4 x ie1 x i4 j ie2 d uei4 b a5 sp}|嗯，而且会去抓着这些细节对吧。
TT_chat_0067|{d uei4 sp w uo3 zh iii1 q ian2 d e5 y iou3 y i2 g e5 sh iii4 y iou3 t a1 sh iii4 y in1 w uei4 b i2 w uo3 d a4 y i4 d ian3 sp d a4 l iang3 s uei4 t a1 sh iii4 sh ang4 x ve2 w uan3 sp r an2 h ou4 t a1 j iou4 y in1 w uei4 w uo3 b u2 sh iii4 b u2 t ai4 h uei4 t ao4 t ao4 n ei4 g e5 b ei4 zh ao4 m a5 sp r an2 h ou4 d ou1 sh iii4 t a1 m ei3 c ii4 b ang1 w uo3 l ai2 sp r an2 h ou4 y iou3 sh iii2 h ou5 w uo3 sh iii4 b u2 t ai4 h ao3 y i4 s ii5 r ang4 t a1 q v4 n ong4 w uo3 j iou4 h uei4 t uo1 y ian2 sp j iou4 b ai3 z ai4 n a4 r j iou4 f ang4 z ai4 w uo3 ch uang2 ch uang2 sh ang5 sp r an2 h ou4 t a1 j iou4 h uei4 sh uo1 t a1 d ao4 w uo3 zh ei4 b ian1 l ai2 b ang1 w uo3 t ao4 y i2 x ia4 sp j iou4 sh iii4 j ve2 d e5 d ou1 d ou1 h ai2 t ing2 h ao3 d e5 sp}|对，我之前的有一个室友他是因为比我大一点，大两岁他是上学晚，然后他就因为我不是不太会套套那个被罩吗？然后都是他每次帮我来，然后有时候我是不太好意思让他去弄我就会拖延，就摆在那儿就放在我床床上。然后他就会说他到我这边来帮我套一下，就是觉得都都还挺好的。
TT_chat_0068|{t a1 m en5 d ou1 sh iii4 j iou4 sh iii4 g en1 n i3 d ou1 z ai4 y i2 g e5 ch eng2 sh iii4 m a5 sp}|他们都是就是跟你都在一个城市吗？
TT_chat_0069|{o2 zh ei4 y iang5 z ii5 a5 sp w uo3 m en5 d ang1 sh iii2 s u4 sh e4 j iou4 sh iii4 q van2 d ou1 sh iii4 y i2 g e5 b an1 d e5 sp}|哦这样子啊，我们当时宿舍就是全都是一个班的。
TT_chat_0070|{en2 sp j iou4 d ou1 sh iii4 t ie1 x in1 d e5 x iao3 t ian1 sh iii3 sp}|嗯，就都是贴心的小天使。
TT_chat_0071|{q v4 l e5 y ie3 q v4 l e5 d an4 sh iii4 n ei4 t ian1 t ai4 r e4 l e5 n a2 r n a3 r d ou1 sh iii4 d a4 t ai4 y iang2 j iou4 zh iii3 sh iii4 g uang4 l e5 y i4 q van1 r sp y ie3 m ei2 y iou3 f a1 x ian4 t a1 d e5 m ei3 sp}|去了也去了但是那天太热了哪儿哪儿都是大太阳就只是逛了一圈儿，也没有发现她的美。
TT_chat_0072|{f an3 zh eng4 w uo3 d a4 er4 n ei4 c ii4 sh iii4 w uo3 r en2 sh eng1 zh ong1 d i4 y i1 c ii4 g en1 en1 p eng2 y iou5 y i4 q i3 ch u1 q v4 j iou4 m ei2 y iou3 b a4 m a1 d e5 n ei4 zh ong3 sp}|反正我大二那次是我人生中第一次跟嗯朋友一起出去就没有爸妈的那种。
TT_chat_0073|{m ei2 y iou3 sp zh iii1 q ian2 y i4 zh iii2 d ou1 t ing1 sh uo1 y i4 q i3 ch u1 q v4 l v3 y iou2 h uei4 y iou3 m o2 c a1 sp}|没有，之前一直都听说一起出去旅游会有摩擦。
TT_chat_0074|{j iou4 sh iii4 b u4 x iang2 zh u3 d ong4 sh uo1 h ua4 sp d ou1 b u4 zh iii1 d ao5 zh e4 sh iii4 sh en2 m e5 x in1 l i3 sp sh iii4 sh iii4 j iou4 sh iii4 sp t ai4 h ao4 m ian4 z ii5 l e5 h ai2 sh iii5 z en3 m e5 y iang4 j iou4 sh iii4 b u2 y van4 y i4 x ian1 k ai1 k ou3 sp}|就是不想主动说话，都不知道这是什么心理，是是就是，太好面子了还是怎么样就是不愿意先开口。
TT_chat_0075|{d an4 y iou3 sh iii2 h ou5 w uo3 j ve2 d e5 w uo3 z ii4 j i3 y ie2 y iou3 w uen4 t i2 d uei4 f ang1 y ie2 y iou3 w uen4 t i2 n a4 zh ei4 zh ong3 zh ei4 zh ong3 q ing2 k uang4 x ia4 w uo2 y ie3 b u2 y van4 y i4 x ian1 k ai1 k ou3 sp}|但有时候我觉得我自己也有问题对方也有问题那这种这种情况下我也不愿意先开口。
TT_chat_0076|{d uei4 ch ao1 j i2 h ao3 sp j iou4 sh iii4 w uo3 m en5 l iang3 g e5 h en3 x iang4 d an4 sh iii4 y iou3 x ie1 d i4 f ang5 h u4 b u3 w uo3 x i4 w uo2 h en3 x i4 x in1 sp t a1 y iou3 sh iii2 y iou2 d ian3 c u1 x in1 sp r an2 h ou4 w uo3 j i4 x ing5 ch ao1 j i2 h ao3 sp t a1 n ei4 g e5 j i4 x ing5 ao4 j iou4 zh en1 d e5 j iou4 sh iii4 q i1 m iao3 sp t ai4 n eng2 w uang4 sh iii4 r l e5 sp er2 q ie2 w uo3 b u2 ai4 sh uei4 j iao4 t a1 h en3 ai4 sh uei4 j iao4 sp}|对超级好，就是我们两个很像但是有些地方互补我细我很细心，她有时有点粗心，然后我记性超级好，她那个记性奥就真的就是七秒，太能忘事儿了，而且我不爱睡觉他很爱睡觉。
TT_chat_0077|{j iou4 sh iii4 w uo3 sh uei4 m ian2 sh iii2 j ian1 d ao4 g e5 q i1 b a1 g e5 x iao3 sh iii2 j iou4 x ing2 sp b u2 h uei4 sh uei4 zh ong1 j ian1 z ai4 sh uei4 g e5 w u3 j iao4 sh en2 m e5 d e5 sp w uan3 sh ang5 y ie3 b u4 x i3 h uan1 z ao3 sh uei4 sp}|就是我睡眠时间到个七八个小时就行，不会睡中间再睡个午觉什么的，晚上也不喜欢早睡。
TT_chat_0078|{n a4 n i3 h uei4 y iou2 w uan3 sh ang5 sh uei4 b u5 zh ao2 d e5 sh iii2 h ou5 m a5 sp}|那你会有晚上睡不着的时候吗？
TT_chat_0079|{n a4 n i3 z uei4 j in4 z uei4 j in4 y iou3 q v4 g uo5 n a3 r w uan2 r m a5 sp}|那你最近最近有去过哪儿玩儿吗？
TT_chat_0080|{ao4 w uo3 sh iii4 z uei4 j in4 q v4 l e5 n ei4 g e5 sp e5 sh ao4 x ing1 d e5 y i2 g e4 y iou2 l e4 y van2 sp d ong1 f ang1 sh an1 sh uei3 l e4 y van2 h ao3 x iang4 j iao4 sp j iou4 sh iii4 t a1 m en5 b a3 zh ei4 g e5 d i4 f ang5 ch eng1 w uei2 sp sh ao4 x ing1 d e5 d i2 sh iii4 n i2 sp}|奥我是最近去了那个，呃绍兴的一个游乐园，东方山水乐园好像叫，就是他们把这个地方称为，绍兴的迪士尼。
TT_chat_0081|{d uei4 h ao3 w uan2 r y iao4 b i3 d i2 sh iii4 n i2 c ii4 j i5 y in1 w uei4 d i2 sh iii4 n i2 t a1 sh iii4 sp y iou2 h en3 d uo1 b i3 j iao4 en4 t ong2 h ua4 y i4 d ian3 d e5 sp s uo2 y i3 d ou1 h en3 w uen1 h e2 d an4 sh iii4 zh ei4 zh ei4 g e5 j iou4 sh iii4 y iou2 d ian3 x ia4 r en2 sp j iou4 t iao4 l ou2 j i1 a5 sh en2 m e5 d e5 sp y ing1 y iou3 j in4 y iou3 sp}|对好玩儿要比迪士尼刺激因为迪士尼他是，有很多比较嗯童话一点的，所以都很温和但是这这个就是有点吓人，就跳楼机啊什么的，应有尽有。
TT_chat_0082|{z uo4 sh ang5 y i4 l iang3 g e4 h ai2 k e2 y i3 sp r an2 h ou4 z ai4 w uang3 h ou4 w uo3 j iou4 b u4 x ing2 l e5 sp}|坐上一两个还可以，然后再往后我就不行了。
TT_chat_0083|{ai1 y ia1 n ei4 zh ong3 w uo2 y ie3 b u4 x ing2 s an1 b ai3 l iou4 sh iii2 d u4 j iou4 zh uan4 y i4 q van1 r zh en1 d e5 b u4 x ing2 sp}|哎呀那种我也不行三百六十度就转一圈儿真的不行。
TT_chat_0084|{w uo3 w uo3 sh ang4 c ii4 w uan2 r l e5 y i2 g e4 j iou4 sh iii4 c ong2 b i3 j iao4 g ao1 d e5 y i2 g e5 d i4 f ang5 sp n ei4 g e5 ch ong1 x ia4 l ai5 r an2 h ou4 j iou4 ch ong1 d ao4 sh uei2 l i3 sp y iou3 n ei4 g e5 n ei4 g e5 t ing2 h ao3 w uan2 r d e5 d an4 sh iii4 w uo3 w uan2 r d i4 y i1 c ii4 d e5 sh iii2 h ou5 w uo3 b u4 zh iii1 d ao4 zh e4 m e5 g ao1 w uo3 m ei2 y iou3 x in1 l i2 zh uen3 b ei4 sp zh e4 zh ong2 g an3 j ve2 sh iii4 w uo3 h ai4 p a4 d e5 j iou4 sh iii4 sp w uo3 w uo3 b u4 zh iii1 d ao4 t a1 zh e4 m e5 g ao1 r an2 h ou4 sp j iou4 sh iii4 n ei4 zh ong3 w u2 zh iii1 g an3 r ang4 w uo3 r ang4 w uo3 g eng4 h ai4 p a4 sp}|我我上次玩儿了一个就是从比较高的一个地方，那个冲下来然后就冲到水里，有那个那个挺好玩儿的但是我玩儿第一次的时候我不知道这么高我没有心理准备，这种感觉是我害怕的就是，我我不知道他这么高然后，就是那种无知感让我让我更害怕。
TT_chat_0085|{j iou4 sh iii4 y ie3 b u2 h uei4 d a4 h an3 d e5 d eng2 w uo3 d ao4 w uo3 d a4 h an3 d e5 sh iii2 h ou5 w uo3 j iou4 sh iii4 zh en1 d e5 h en3 h ai4 p a4 sp h ai4 p a4 d ao4 w uo2 x iang3 j iou4 sh iii4 x iang3 x iang3 y iao4 zh ong1 t u2 f ang4 q i4 d e5 n ei4 zh ong3 sp}|就是也不会大喊的等我到我大喊的时候我就是真的很害怕，害怕到我想就是想想要中途放弃的那种。
TT_chat_0086|{k e2 y i3 n ei4 y iang4 x iang4 w uai4 t u3 q i4 sp j iou4 sh iii4 y iao4 y iao4 sp x ia4 d e5 sh iii2 h ou5 n i3 j iou4 k e2 y i3 x iang4 w uai4 t u3 q i4 k e2 y i3 j ian2 sh ao3 sh iii1 zh ong4 g an3 sp}|可以那样向外吐气，就是要要，下的时候你就可以向外吐气可以减少失重感。
TT_chat_0087|{y iou3 d e5 r en2 t a1 sh iii4 t ian1 sh eng1 j iou4 zh ei4 y iang4 sp t a1 z uo4 d ang4 q iou1 q ian1 y ie3 h uei4 y iou2 h en3 q iang2 d e5 sh iii1 zh ong4 g an3 sp}|有的人他是天生就这样，他坐荡秋千也会有很强的失重感。
TT_chat_0088|{n i3 n i3 z uo4 g uo5 n ei4 g e5 ch uang4 j i2 s u4 g uang1 l uen2 m a5 sp}|你你做过那个创极速光轮吗？
TT_chat_0089|{w uo3 w uo3 sh iii4 q v4 l e5 l iang3 c ii4 w uo3 h ai2 h uei4 z ai4 q v4 j iou4 sh iii4 h en2 x i3 h uan1 sp}|我我是去了两次我还会再去就是很喜欢。
TT_chat_0090|{t a1 b u2 sh iii4 c ii4 j i5 t a1 sh iii4 s u4 d u4 j iou4 sh iii4 r ang4 r en2 h en2 sh uang3 sp j ve2 d e5 z ii4 j i2 h en3 k u4 h en3 s a4 sp}|他不是刺激他是速度就是让人很爽，觉得自己很酷很飒。
TT_chat_0091|{en4 sp t a1 zh eng3 g e4 sp zh eng3 g e5 z ii1 sh iii4 b u2 sh iii4 sh uo1 x iang4 y iou3 d e5 sh iii4 n i3 z uo4 z ai4 sh ang4 m ian5 b a2 n i2 k uen3 zh u4 sp t a1 sh iii4 n i3 p a1 z ai4 sh ang4 m ian4 sp j iou4 sh iii4 n i3 sh iii4 y i2 g e5 g uei4 z ii1 p a1 z ai4 sh ang4 m ian5 j iou4 sh iii4 g an3 j ve2 x iang4 y i2 g e5 q i2 m o2 t uo1 d e5 s ai4 ch e1 sh ou3 sp}|嗯，他整个，整个姿势不是说像有的是你坐在上面把你捆住，它是你趴在上面，就是你是一个跪姿趴在上面就是感觉像一个骑摩托的赛车手。
TT_chat_0092|{r an2 h ou4 p ai1 p ai1 zh ao4 y ia5 sh en2 m e5 d e5 n i3 g en1 n an2 p eng2 y iou5 q v4 t a1 b u4 y i2 d ing4 h uei4 p ai1 zh ao4 sp n an2 sh eng1 d e5 p ai1 zh ao4 j i4 sh u4 j iou4 h en3 d uei4 b a5 sp}|然后拍拍照呀什么的你跟男朋友去他不一定会拍照，男生的拍照技术就很对吧。
TT_chat_0093|{en4 sp w uo3 j iou4 sh iii4 b i3 j iao4 x i3 h uan1 p ai1 zh ao4 sp r an2 h ou4 x i3 h uan1 j iou4 sh iii4 z ai4 d ou3 y in1 sh ang5 y ie3 h uei4 g uan1 zh u4 y i4 x ie1 zh ei4 l ei4 d e5 b o2 zh u3 sp h uei2 q v4 k an4 y i5 k an4 sp k an4 t a1 z en3 m e5 p ai1 d e5 sp}|嗯，我就是比较喜欢拍照，然后喜欢就是在抖音上也会关注一些这类的博主，回去看一看，看他怎么拍的。
TT_chat_0094|{en4 h ai2 y iou3 y i4 x ie1 z ii1 sh iii4 h ai2 y iou3 b u4 t ong2 ch ang3 h e2 y ia5 z en3 m e5 b ai3 y ia5 sh en2 m e5 d e5 sp}|嗯还有一些姿势还有不同场合呀怎么摆呀什么的？
TT_chat_0095|{j iou4 m ei3 c ii4 g en1 w uo3 p eng2 y iou5 p ai1 zh ao4 d e5 sh iii2 h ou5 j iou4 h uei4 t u1 r an2 sh uo1 sp n i2 d eng3 d eng2 w uo3 y i2 x ia4 w uo3 x ian1 zh ao3 y i5 zh ao3 k an4 k an4 t a1 z en3 m e5 b ai3 d e5 sp r an2 h ou4 q v4 f an1 d ou3 y in1 sp zh ao3 d ao4 zh iii1 h ou4 z ai4 m o2 f ang3 sp}|就每次跟我朋友拍照的时候就会突然说，你等等我一下我先找一找看看他怎么摆的，然后去翻抖音，找到之后在模仿。
TT_chat_0096|{t ing2 h ao3 d e5 w uo3 w uo3 d ou1 m ei2 y iou3 x iang4 n i3 h uei4 j iou4 sh iii4 b i3 j iao4 sp e5 q in2 k uai4 d e5 h uei4 y iong4 zh ei4 g e5 q v4 p ai1 sp w uo3 j i1 b en3 sh ang4 j iou4 sh iii4 z ii4 p ai1 sp h uo4 zh e3 sh iii4 r u2 g uo3 ch u1 q v4 w uan2 r h uo4 zh e3 sh iii4 w uo2 h en3 ai4 t iao1 n ei4 zh ong3 h en3 p iao4 l iang5 d e5 x iao3 d ian4 sp}|挺好的我我都没有像你会就是比较，呃勤快的会用这个去拍，我基本上就是自拍，或者是如果出去玩儿或者是我很爱挑那种很漂亮的小店。
TT_chat_0097|{en4 sp y iou2 q i2 sh iii4 x iang4 y iou3 x ie1 d i4 f ang5 n ei4 g e5 x ia4 w u3 ch a2 n ei4 zh ong3 d ian4 j iou4 t e4 b ie2 p iao4 l iang5 sp}|嗯，尤其是像有些地方那个下午茶那种店就特别漂亮。
TT_chat_0098|{w uo2 y ie3 sh iii4 sp w uo3 t e4 b ie2 b u4 x i3 h uan5 p ai1 zh ao4 x iao3 sh iii2 h ou5 j iou4 b u4 x i3 h uan1 sp j iou4 sp j ia1 l i3 r en2 zh iii3 y iao4 r ang4 w uo3 p ai1 zh ao4 w uo3 j iou4 z uo4 g uei2 l ian3 w uo3 j iou4 b u2 y iao4 p ai1 sp z ai4 j ia1 sh ang5 w uo3 z ai4 d a4 y i4 d ian3 b u2 y van4 y i4 p ai1 zh ao4 sh iii4 y in1 w uei4 w uo3 p ang4 sp j iou4 sh iii4 b u4 x i3 h uan5 zh ao4 x iang4 sp}|我也是，我特别不喜欢拍照小时候就不喜欢，就，家里人只要让我拍照我就做鬼脸我就不要拍，再加上我再大一点不愿意拍照是因为我胖，就是不喜欢照相。
TT_chat_0099|{n i2 x i3 h uan1 j iou4 sh iii4 m ai2 m ai2 m ai3 m a5 sp}|你喜欢就是买买买吗？
TT_chat_0100|{x iang4 w uo3 sp e5 zh iii2 y iou3 j in1 n ian2 x ia4 l ai2 zh ei4 b an4 n ian2 l e5 m a5 j in1 n ian2 x ia4 l ai2 zh iii2 y iou3 z ai4 y i4 q ing2 q i1 j ian1 y in1 w uei4 w uo3 b u4 ch u1 m en2 sp w uo3 j iou4 m ei2 y iou2 sh en3 m e5 sh en1 sh ang4 ch uan1 d e5 y ia5 h uo4 zh e3 zh ei4 x ie1 f ang1 m ian4 d e5 x v1 q iou2 sp j iou4 m ei2 y iou2 m ai3 sp y i4 q ing2 q i1 j ian1 m ei2 ch u1 m en2 d e5 sh iii2 h ou5 m ei2 y iou2 m ai3 j iou4 sh ao1 w uei1 h ao3 y i4 d ian3 zh iii1 h ou4 j iou4 k ai1 sh iii3 f eng1 k uang2 m ai3 sp}|像我，呃只有今年下来这半年了嘛今年下来只有在疫情期间因为我不出门，我就没有什么身上穿的呀或者这些方面的需求，就没有买，疫情期间没出门的时候没有买就稍微好一点之后就开始疯狂买。
